bigram,count
ifade edeyim,8
iyi parti,6
yüksek seçim,5
cumhuriyet halk,5
halk partisi,5
seçim kurulu,4
uğur bey,4
sandık konulan,3
beklediğimiz ölçüde,3
ifade ettim,3
grup kursunlar,3
güzel sonuç,3
üzerine inşa,3
önce söyledim,3
dönem desinler,3
desinler dönem,3
yalan üzerine,3
cep telefonuyla,2
sonuçlar gelince,2
yüzde elli,2
