bigram,count
biliyor musunuz,21
sayın erdoğan,19
sayın kılıçdaroğlu,12
türk milliyetçisi,10
ak parti,9
türkiye cumhuriyeti,6
var türkiye,5
sinan oğan,5
oyunu verecek,5
oyunu vermeyecek,5
ikinci tura,5
büyük israil,4
sayın cumhurbaşkanı,4
allah aşkına,4
üzerinde uzlaşılan,4
milliyetçisi aday,4
oyu var,4
cumhuriyeti devleti,3
ilk günden,3
günden beri,3
