bigram,count
sinan oğan,19
türk milletinin,8
ata ittifakı,7
biliyor musunuz,6
türk milleti,5
cumhurbaşkanı adayı,5
teşekkür ederim,4
türk milletine,4
efe bey,4
rant ekonomisi,4
milyon liralık,4
bizim arkamızda,4
sağ olun,3
sayın erdoğan,3
adayı var,3
sığınmacılar gidecek,3
mustafa kemal,3
kemal atatürk,3
aldı başına,3
başına gelen,3
