bigram,count
sayın erdoğan,14
cumhur ittifakı,12
sayın özdağ,11
sayın kılıçdaroğlu,9
iyi parti,9
ikinci tura,8
millet ittifakı,8
türk milliyetçisi,7
ifade ettim,7
saygı duyuyorum,7
türk milliyetçileri,6
sinan oğan,6
türk milliyetçilerini,6
ak parti,6
sayın cumhurbaşkanı,6
sayın mehmet,6
açık söyleyeyim,5
sene önce,5
türk milliyetçilerinin,5
seçimlerin ikinci,5
