bigram,count
genel başkan,19
cumhuriyet halk,18
halk partisi,17
iyi parti,9
ifade edeyim,9
doğru değil,8
yüksek yetenek,8
yeni şafak,8
hayır hayır,8
ortak mutabakat,7
belediye başkanı,7
yetenek inşası,7
bana oy,7
allah aşkına,7
milyar milyon,7
katma değeri,6
değeri yüksek,6
yüksek ürün,6
emine şen,6
şen yaşar,6
