bigram,count
genel başkan,19
cumhuriyet halk,11
halk partisi,10
yeni şafak,8
hayır hayır,8
bana oy,7
allah aşkına,7
milyar milyon,7
partiyiz biz,6
yerel seçimlerde,6
ithal ediyoruz,6
andan itibaren,5
ayrı ayrı,5
doğru değil,5
tek adam,5
cumhurbaşkanı olur,5
demokrasiden yana,5
yana oy,5
yan yana,5
ortak mutabakat,5
