bigram,count
sayın erdoğan,37
sinan oğan,36
biliyor musunuz,28
sayın kılıçdaroğlu,24
türk milliyetçisi,21
ata ittifakı,18
cumhur ittifakı,17
ikinci tura,17
ak parti,15
millet ittifakı,14
türk milletinin,14
sayın özdağ,12
iyi parti,12
teşekkür ederim,11
türk milliyetçileri,10
türkiye cumhuriyeti,10
sayın cumhurbaşkanı,10
milliyetçisi aday,10
türk milleti,9
cumhurbaşkanı adayı,9
