bigram,count
sayın erdoğan,38
sinan oğan,36
ak parti,30
biliyor musunuz,30
cumhur ittifakı,26
iyi parti,24
sayın kılıçdaroğlu,24
cumhuriyet halk,24
halk partisi,23
türk milliyetçisi,21
genel başkan,20
millet ittifakı,18
ata ittifakı,18
bay kemal,17
ikinci tura,17
teşekkür ederim,16
bay bay,15
türk milletinin,15
türkiye cumhuriyeti,15
allah aşkına,14
