trigram,count
türk milliyetçisi aday,10
mustafa kemal atatürk,6
cumhuriyet halk partisi,6
ilk günden beri,5
üzerinde uzlaşılan türk,5
uzlaşılan türk milliyetçisi,5
ata ittifakı cumhurbaşkanı,4
ittifakı cumhurbaşkanı adayı,4
faiz sebep enflasyon,4
sebep enflasyon sonuç,4
oyunu verecek sayın,4
türkiye cumhuriyeti devleti,4
seçimlerin ikinci tura,4
plana sadık kal,4
verecek sayın erdoğan,3
cumhurbaşkanı adayı var,3
recep tayyip erdoğan,3
aldı başına gelen,3
başına gelen kalmadı,3
var sinan oğan,3
