bigram,count
bay kemal,12
bay bay,11
ak parti,9
pazar günü,6
cumhur ittifakı,6
milyar dolar,6
söz konusu,5
kürt kardeşlerimizin,5
nedir bilmez,5
el ele,4
muharrem bey,4
terör örgütleriyle,4
biz varız,4
terör örgütü,4
rusya yaptırım,4
türkiye yılı,3
teşekkür ediyorum,3
öbür tarafta,3
sayın putin,3
konusu değil,3
