bigram,count
sinan oğan,4
sevgili vatandaşlarım,3
afet bakanlığı,3
bin lira,3
türk milleti,2
yüzde doksanlık,2
adayı var,2
cumhurbaşkanlığı seçiminde,2
hale getireceğiz,2
yangın söndürme,2
genç beyinlerin,2
haline getireceğiz,2
hayata geçireceğiz,2
kripto para,2
faiz sebep,2
sebep enflasyon,2
enflasyon sonuç,2
tek adam,2
sınırı bin,2
asgari ücreti,2
