bigram,count
türk milletinin,6
ata ittifakı,6
sosyal medya,5
ikinci tura,4
teşekkür ederim,4
seçimlerin ikinci,3
teşekkürü borç,3
türk milliyetçisi,3
ifade ettik,3
ikinci turda,3
farkındalık oluşturduk,3
türlü terör,3
hak bağıran,3
millet ittifakı,3
türkiye cumhuriyeti,3
cumhur ittifakı,3
ittifakı adayı,3
adayı sayın,3
değerli basın,2
basın mensupları,2
