trigram,count
cumhuriyet halk partisi,23
bay bay kemal,15
türk milliyetçisi aday,10
türkiye cumhuriyeti devleti,8
mustafa kemal atatürk,7
yüksek seçim kurulu,7
yüksek yetenek inşası,7
söz konusu değil,6
katma değeri yüksek,6
değeri yüksek ürün,6
emine şen yaşar,6
ilk günden beri,5
üzerinde uzlaşılan türk,5
uzlaşılan türk milliyetçisi,5
bana oy verin,5
siyasi ahlak kanunu,5
yüksek disiplin kurulu,5
ata ittifakı cumhurbaşkanı,4
ittifakı cumhurbaşkanı adayı,4
faiz sebep enflasyon,4
