term,count
biz,29
bizim,13
onlar,0
millet,2
milletimiz,0
halk,0
devlet,11
türkiye,34
cumhur,1
ittifak,0
terör,0
genç,6
aile,0
vatan,0
bayrak,0
millet_plus_milletimiz,2
