term,count
biz,10
bizim,16
onlar,0
millet,3
milletimiz,1
halk,0
devlet,3
türkiye,14
cumhur,4
ittifak,3
terör,3
genç,0
aile,0
vatan,0
bayrak,0
millet_plus_milletimiz,4
