word,count
kendisidir,6
trt,5
halkım,3
erdoğan,3
kimin,3
sevgili,2
ben,2
sandıkta,2
parti,2
devletin,2
televizyonu,2
sen,2
karşıma,2
vatanı,2
sevdiğini,2
benim,2
biliyor,2
milletin,2
bugün,1
değerli,1
davet,1
karşınızdayım,1
mayıs,1
geride,1
millet,1
seçimini,1
yaptı,1
baş,1
başa,1
kaldım,1
yalnızca,1
varız,1
sakın,1
yanlış,1
düşünmeyin,1
birbirine,1
taban,1
tabana,1
zıt,1
iki,1
farklı,1
anlayış,1
var,1
tarafsızlığıyla,1
dünyaya,1
ün,1
salmış,1
ekranlarından,1
yüksek,1
cesaretiyle,1
