term,count
biz,50
bizim,21
onlar,1
millet,9
milletimiz,0
halk,4
devlet,3
türkiye,24
cumhur,12
ittifak,3
terör,0
genç,3
aile,0
vatan,2
bayrak,0
millet_plus_milletimiz,9
