word,count
biz,394
ben,355
var,322
türkiye,255
değil,189
bizim,181
türk,173
sayın,155
parti,146
benim,117
zaman,108
lazım,102
siz,99
önce,87
erdoğan,86
büyük,84
seçim,77
kendi,76
ittifakı,73
ifade,72
iyi,70
iki,63
evet,63
sadece,62
dolayısıyla,62
hayır,62
devlet,61
bakın,60
bize,59
hdp,59
onlar,59
cumhurbaşkanı,59
oy,59
terör,57
olur,57
hiçbir,56
olacak,56
bana,55
allah,55
son,53
önemli,52
kılıçdaroğlu,52
genel,52
beraber,51
yeni,51
tek,51
ilgili,49
doğru,48
içerisinde,48
bugün,48
