term,count
biz,4
bizim,0
onlar,0
millet,1
milletimiz,0
halk,0
devlet,1
türkiye,9
cumhur,1
ittifak,0
terör,0
genç,3
aile,0
vatan,0
bayrak,0
millet_plus_milletimiz,1
