word,count
biz,148
var,124
ben,123
parti,78
değil,72
lazım,66
zaman,63
türkiye,60
bizim,59
benim,47
siz,46
genel,41
kendi,40
evet,39
önce,39
dolayısıyla,38
bakın,38
hayır,35
olur,34
onlar,33
erdoğan,32
büyük,31
devletin,31
yüksek,30
seçim,29
başkan,28
iyi,28
ifade,28
iki,28
yeni,27
doğru,26
terör,26
partisi,25
partinin,25
medya,23
olacak,23
oy,23
bana,22
sadece,22
halk,22
yaptı,21
konusunda,21
efendim,21
olabilir,21
trt,21
ilgili,20
elbette,19
güzel,19
hiçbir,19
milyon,19
