term,count
biz,38
bizim,26
onlar,6
millet,2
milletimiz,2
halk,0
devlet,9
türkiye,17
cumhur,6
ittifak,1
terör,16
genç,4
aile,2
vatan,0
bayrak,0
millet_plus_milletimiz,4
