term,count
biz,113
bizim,58
onlar,17
millet,12
milletimiz,8
halk,0
devlet,12
türkiye,57
cumhur,9
ittifak,1
terör,26
genç,9
aile,9
vatan,3
bayrak,1
millet_plus_milletimiz,20
