term,count
biz,39
bizim,13
onlar,10
millet,1
milletimiz,0
halk,6
devlet,0
türkiye,11
cumhur,0
ittifak,0
terör,0
genç,1
aile,0
vatan,0
bayrak,0
millet_plus_milletimiz,1
