term,count
biz,133
bizim,64
onlar,9
millet,16
milletimiz,1
halk,6
devlet,30
türkiye,138
cumhur,19
ittifak,6
terör,5
genç,14
aile,1
vatan,4
bayrak,0
millet_plus_milletimiz,17
