term,count
biz,2
bizim,1
onlar,0
millet,0
milletimiz,2
halk,0
devlet,1
türkiye,7
cumhur,0
ittifak,0
terör,1
genç,0
aile,0
vatan,0
bayrak,0
millet_plus_milletimiz,2
