term,count
biz,37
bizim,18
onlar,7
millet,2
milletimiz,0
halk,2
devlet,8
türkiye,26
cumhur,0
ittifak,0
terör,14
genç,4
aile,1
vatan,0
bayrak,0
millet_plus_milletimiz,2
