term,count
biz,394
bizim,181
onlar,59
millet,32
milletimiz,10
halk,28
devlet,61
türkiye,255
cumhur,28
ittifak,11
terör,57
genç,28
aile,12
vatan,7
bayrak,1
millet_plus_milletimiz,42
