term,count
biz,19
bizim,7
onlar,4
millet,4
milletimiz,4
halk,0
devlet,0
türkiye,22
cumhur,3
ittifak,0
terör,4
genç,0
aile,0
vatan,2
bayrak,0
millet_plus_milletimiz,8
