term,count
biz,54
bizim,24
onlar,7
millet,6
milletimiz,0
halk,0
devlet,2
türkiye,11
cumhur,0
ittifak,0
terör,5
genç,5
aile,7
vatan,1
bayrak,1
millet_plus_milletimiz,6
