term,count
biz,72
bizim,28
onlar,16
millet,0
milletimiz,0
halk,13
devlet,11
türkiye,23
cumhur,0
ittifak,4
terör,12
genç,0
aile,1
vatan,0
bayrak,0
millet_plus_milletimiz,0
