term,count
biz,40
bizim,14
onlar,8
millet,1
milletimiz,0
halk,2
devlet,12
türkiye,57
cumhur,1
ittifak,0
terör,2
genç,2
aile,1
vatan,2
bayrak,0
millet_plus_milletimiz,1
